Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
R$ 420.000,Caraguatatuba,Centro,N/I,N/I,"--
              

                Quarto","2
              

                Banheiros","90
              

                m²","--
                

                  Vaga","Prédio/Edificio inteiro    à Venda, 90m²"
R$ 390.000,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
R$ 550.000,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"2
              

                Quartos","1
              

                Banheiro","71
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 71m²"
R$ 870.000,Caraguatatuba,Jardim Britânia,Rua Ademar Martins,N/I,"3
              

                Quartos","4
              

                Banheiros","126
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 126m²"
R$ 2.600.000,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"4
              

                Quartos","3
              

                Banheiros","190
              

                m²","2
                

                  Vagas","Apartamento com 4 Quartos à Venda, 190m²"
R$ 990.000,Caraguatatuba,Pontal de Santa Marina,Avenida Marginal Saveiro,423,"4
              

                Quartos","2
              

                Banheiros","179
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 179m²"
R$ 650.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","80
              

                m²","5
                

                  Vagas","Casa com 2 Quartos à Venda, 80m²"
"R$ 750.000
                    



                  Condomínio:
                  
                      R$ 288",Caraguatatuba,Cidade Jardim,Alameda dos Carvalhos,26,"3
              

                Quartos","2
              

                Banheiros","107
              

                m²","1
                

                  Vaga","Casa de condomínio com 3 Quartos à Venda, 107m²"
"R$ 850.000
                    



                  Condomínio:
                  
                      R$ 820",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","117
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 117m²"
"R$ 850.000
                    



                  Condomínio:
                  
                      R$ 1.041",Caraguatatuba,Martim de Sa,Avenida Paulo Ferraz da Silva Porto,1231,"3
              

                Quartos","2
              

                Banheiros","110
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 110m²"
R$ 995.000,Caraguatatuba,Porto Novo,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","195
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 195m²"
R$ 650.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","200
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 200m²"
"R$ 600.000
                    



                  Condomínio:
                  
                      R$ 250",Caraguatatuba,Jardim do Sol,Rua Wenceslau Castro Landeira,200,"2
              

                Quartos","1
              

                Banheiro","86
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 86m²"
R$ 980.000,Caraguatatuba,Cidade Jardim,Alameda das Palmeiras,N/I,"3
              

                Quartos","2
              

                Banheiros","180
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 180m²"
R$ 750.000,Caraguatatuba,Benfica,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","140
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 140m²"
R$ 650.000,Caraguatatuba,Massaguaçu,Rua Antônio de Lucca,250,"3
              

                Quartos","2
              

                Banheiros","95
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 95m²"
R$ 945.000,Caraguatatuba,Porto Novo,N/I,N/I,"7
              

                Quartos","9
              

                Banheiros","470
              

                m²","6
                

                  Vagas","Casa com 7 Quartos à Venda, 470m²"
R$ 640.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","82
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 82m²"
R$ 409.799,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","102
              

                m²","--
                

                  Vaga","Casa com 2 Quartos à Venda, 102m²"
"R$ 580.000
                        
Preço abaixo do mercado",Caraguatatuba,Morro Do Algodao,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","247
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 247m²"
"R$ 400.000
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Massaguaçu,Rua Cipriano José Barata de Almeida,8,"2
              

                Quartos","2
              

                Banheiros","101
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 101m²"
"R$ 430.000
                    



                  Condomínio:
                  
                      R$ 250",Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","73
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 73m²"
R$ 636.300,Caraguatatuba,Britânia,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","77
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 77m²"
R$ 485.000,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","130
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 130m²"
"R$ 580.000
                    



                  Condomínio:
                  
                      R$ 250",Caraguatatuba,Massaguaçu,Rua Diego Bordezan,200,"2
              

                Quartos","1
              

                Banheiro","89
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 89m²"
R$ 645.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","101
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 101m²"
R$ 1.280.000,Caraguatatuba,Cidade Jardim,Alameda dos Cedros do Líbano,N/I,"4
              

                Quartos","3
              

                Banheiros","166
              

                m²","2
                

                  Vagas","Apartamento com 4 Quartos à Venda, 166m²"
R$ 400.000,Caraguatatuba,Jardim Das Gaivotas,Rua das Gaivota,54,"2
              

                Quartos","1
              

                Banheiro","54
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 54m²"
"R$ 980.000
                    



                  Condomínio:
                  
                      R$ 1.026",Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","150
              

                m²","2
                

                  Vagas","Cobertura com 3 Quartos à Venda, 150m²"
R$ 950.000,Caraguatatuba,Massaguaçu,Rua Rio Paraná,405,"4
              

                Quartos","4
              

                Banheiros","170
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 170m²"
R$ 1.650.000,Caraguatatuba,Jardim Britânia,Avenida Ivo Gonçalves Relva,300,"4
              

                Quartos","4
              

                Banheiros","300
              

                m²","6
                

                  Vagas","Casa com 4 Quartos à Venda, 300m²"
"R$ 600.000
                    



                  Condomínio:
                  
                      R$ 1.077",Caraguatatuba,Sumaré,Avenida Arthur Costa Filho,587,"3
              

                Quartos","2
              

                Banheiros","89
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 89m²"
R$ 1.108.657,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,77,"3
              

                Quartos","1
              

                Banheiro","109
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 109m²"
"R$ 850.000
                    



                  Condomínio:
                  
                      R$ 1.100",Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","110
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 110m²"
R$ 1.400.000,Caraguatatuba,Pontal de Santa Marina,Rua Semaan Yossef Alouan,N/I,"4
              

                Quartos","5
              

                Banheiros","269
              

                m²","6
                

                  Vagas","Casa com 4 Quartos à Venda, 269m²"
"R$ 1.309.000
                        
Preço abaixo do mercado",Caraguatatuba,Loteamento Jardim Aruan,Avenida Almirante Tamandaré,N/I,"3
              

                Quartos","3
              

                Banheiros","144
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 144m²"
R$ 586.000,Caraguatatuba,Parque Balneario Poiares,Rua Tomaz Antônio Gonzaga,29,"2
              

                Quartos","3
              

                Banheiros","77
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 77m²"
"R$ 720.000
                    



                  Condomínio:
                  
                      R$ 306",Caraguatatuba,Praia Das Palmeiras,Avenida Geraldo Nogueira da Silva,N/I,"3
              

                Quartos","2
              

                Banheiros","118
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 118m²"
R$ 995.000,Caraguatatuba,Jardim Brasil,Alameda Cosme Rangel,12,"3
              

                Quartos","3
              

                Banheiros","195
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 195m²"
R$ 990.000,Caraguatatuba,Praia Das Palmeiras,Avenida Gaspar de Souza,421,"6
              

                Quartos","6
              

                Banheiros","274
              

                m²","6
                

                  Vagas","Casa com 6 Quartos à Venda, 274m²"
R$ 760.000,Caraguatatuba,Jardim Mariella,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","180
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 180m²"
R$ 750.000,Caraguatatuba,Massaguaçu,Avenida Massaguaçu,170,"2
              

                Quartos","1
              

                Banheiro","65
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 65m²"
"R$ 460.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Massaguaçu,Rua Nereu de Oliveira Ramos,855,"3
              

                Quartos","1
              

                Banheiro","117
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 117m²"
"R$ 440.000
                        
Preço abaixo do mercado",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","179
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 179m²"
R$ 600.000,Caraguatatuba,Mar Verde II,Rua Frade,501,"2
              

                Quartos","1
              

                Banheiro","70
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 70m²"
R$ 464.702,Caraguatatuba,Indaiá,Rua Duarte da Costa,214,"1
              

                Quarto","1
              

                Banheiro","54
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 54m²"
"R$ 300.000
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Massaguaçu,Rua Tetsuo Watanabe,8,"--
              

                Quarto","--
              

                Banheiro","260
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 260m²"
R$ 700.000,Caraguatatuba,Martim de Sa,Avenida Nossa Senhora do Brasil,22,"2
              

                Quartos","3
              

                Banheiros","360
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 360m²"
R$ 650.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","153
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 153m²"
R$ 320.000,Caraguatatuba,Capricórnio II,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","73
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 73m²"
R$ 380.000,Caraguatatuba,Balneario Gardem Mar,Rua Anna Zamarzahl Y Carnero,37356,"2
              

                Quartos","1
              

                Banheiro","60
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 60m²"
"R$ 1.800.000
                        
Preço abaixo do mercado",Caraguatatuba,Sumaré,N/I,N/I,"4
              

                Quartos","6
              

                Banheiros","320
              

                m²","6
                

                  Vagas","Casa com 4 Quartos à Venda, 320m²"
R$ 350.000,Caraguatatuba,Caputera,Rua Treze de Maio,117,"2
              

                Quartos","1
              

                Banheiro","90
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 90m²"
R$ 670.000,Caraguatatuba,Martin de Sá,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","133
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 133m²"
R$ 450.000,Caraguatatuba,Capricórnio II,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","72
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 72m²"
R$ 830.000,Caraguatatuba,Vila Atlantica,N/I,N/I,"2
              

                Quartos","4
              

                Banheiros","250
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 250m²"
R$ 990.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","287
              

                m²","4
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 287m²"
R$ 1.550.000,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"3
              

                Quartos","2
              

                Banheiros","115
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 115m²"
R$ 780.000,Caraguatatuba,Martin de Sá,N/I,N/I,"4
              

                Quartos","4
              

                Banheiros","146
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 146m²"
R$ 598.000,Caraguatatuba,Massaguaçu,Rua Anna Zamarzahl Y Carnero,249,"2
              

                Quartos","1
              

                Banheiro","100
              

                m²","3
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 100m²"
R$ 450.000,Caraguatatuba,Prainha,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","69
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 69m²"
"R$ 410.000
                    



                  Condomínio:
                  
                      R$ 385",Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,40576,"1
              

                Quarto","1
              

                Banheiro","31
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 31m²"
R$ 1.600.000,Caraguatatuba,Sumaré,Rua Queluz,112030,"4
              

                Quartos","2
              

                Banheiros","320
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 320m²"
"R$ 749.000
                    



                  Condomínio:
                  
                      R$ 727",Caraguatatuba,Indaiá,Avenida Vereador Aristides Anizio dos Santos,40,"3
              

                Quartos","2
              

                Banheiros","70
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 70m²"
"R$ 1.800.000
                    



                  Condomínio:
                  
                      R$ 300",Caraguatatuba,Mar Verde II,Rua Parati,N/I,"4
              

                Quartos","2
              

                Banheiros","300
              

                m²","3
                

                  Vagas","Casa com 4 Quartos à Venda, 300m²"
"R$ 1.300.000
                    



                  Condomínio:
                  
                      R$ 857",Caraguatatuba,Indaiá,Avenida Minas Gerais,500,"3
              

                Quartos","3
              

                Banheiros","116
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 116m²"
"R$ 519.170
                    



                  Condomínio:
                  
                      R$ 850",Caraguatatuba,Martim de Sa,Rua Jacarandá,115,"1
              

                Quarto","1
              

                Banheiro","56
              

                m²","1
                

                  Vaga","Flat com  Quarto à Venda, 56m²"
"R$ 1.850.000
                    



                  Condomínio:
                  
                      R$ 2.064",Caraguatatuba,Sumaré,N/I,N/I,"3
              

                Quartos","5
              

                Banheiros","154
              

                m²","3
                

                  Vagas","Apartamento com 3 Quartos à Venda, 154m²"
"R$ 455.000
                    



                  Condomínio:
                  
                      R$ 550",Caraguatatuba,Massaguaçu,Rua Antônio de Lucca,1100,"2
              

                Quartos","2
              

                Banheiros","85
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 85m²"
R$ 640.000,Caraguatatuba,Jardim Das Gaivotas,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","107
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 107m²"
"R$ 800.000
                    



                  Condomínio:
                  
                      R$ 1.000",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","86
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 86m²"
"R$ 373.000
                    



                  Condomínio:
                  
                      R$ 70",Caraguatatuba,Massaguaçu,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","409
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 409m²"
R$ 7.000.000,Caraguatatuba,Pontal de Santa Marina,Rua Ministro Dilson Funaro,N/I,"--
              

                Quarto","--
              

                Banheiro","1890
              

                m²","--
                

                  Vaga","Sala/Conjunto    à Venda, 1890m²"
R$ 730.000,Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","148
              

                m²","2
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 148m²"
R$ 750.000,Caraguatatuba,Centro,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","113
              

                m²","1
                

                  Vaga","Casa com 3 Quartos à Venda, 113m²"
R$ 890.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,313,"3
              

                Quartos","1
              

                Banheiro","179
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 179m²"
R$ 750.000,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 65m²"
R$ 900.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","131
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 131m²"
"R$ 890.000
                    



                  Condomínio:
                  
                      R$ 998",Caraguatatuba,Martim de Sa,Avenida Horácio Rodrigues,72,"3
              

                Quartos","2
              

                Banheiros","88
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 88m²"
"R$ 749.150
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Prainha,Avenida Paulo Ferraz da Silva Porto,100,"5
              

                Quartos","2
              

                Banheiros","276
              

                m²","8
                

                  Vagas","Casa com 5 Quartos à Venda, 276m²"
"R$ 530.000
                    



                  Condomínio:
                  
                      R$ 720",Caraguatatuba,Prainha,N/I,N/I,"1
              

                Quarto","1
              

                Banheiro","51
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 51m²"
"R$ 1.650.000
                        
Preço abaixo do mercado",Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"4
              

                Quartos","5
              

                Banheiros","280
              

                m²","2
                

                  Vagas","Cobertura com 4 Quartos à Venda, 280m²"
R$ 1.350.000,Caraguatatuba,Jardim Britânia,Rua Walter Rodrigues de Andrade Netto,134,"4
              

                Quartos","2
              

                Banheiros","260
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 260m²"
R$ 630.000,Caraguatatuba,Massaguaçu,Rua Wenceslau Castro Landeira,200,"2
              

                Quartos","2
              

                Banheiros","64
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 64m²"
"R$ 488.760
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Martim de Sa,Avenida do Canal,498,"3
              

                Quartos","2
              

                Banheiros","118
              

                m²","6
                

                  Vagas","Casa com 3 Quartos à Venda, 118m²"
"R$ 749.000
                    



                  Condomínio:
                  
                      R$ 727",Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,2250,"3
              

                Quartos","1
              

                Banheiro","70
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 70m²"
"R$ 449.000
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Parque Balneario Poiares,Rua Duarte da Costa,220,"1
              

                Quarto","1
              

                Banheiro","53
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 53m²"
R$ 850.000,Caraguatatuba,Jardim Britânia,Rua Quinze,59,"4
              

                Quartos","4
              

                Banheiros","233
              

                m²","3
                

                  Vagas","Casa com 4 Quartos à Venda, 233m²"
"R$ 1.280.000
                    



                  Condomínio:
                  
                      R$ 220",Caraguatatuba,Mar Verde II,Rua Parati,2222,"3
              

                Quartos","3
              

                Banheiros","153
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 153m²"
"R$ 950.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Indaiá,Avenida Vereador Aristides Anizio dos Santos,40,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 65m²"
R$ 260.000,Caraguatatuba,Getuba,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","250
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 250m²"
"R$ 329.540
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Jardim Adalgisa,Rua Uruguai,100,"--
              

                Quarto","--
              

                Banheiro","405
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 405m²"
R$ 790.000,Caraguatatuba,Capricórnio II,Rua Seis,355,"3
              

                Quartos","2
              

                Banheiros","480
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 480m²"
"R$ 420.000
                    



                  Condomínio:
                  
                      R$ 601",Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 65m²"
R$ 780.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","314
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 314m²"
"R$ 570.000
                    



                  Condomínio:
                  
                      R$ 263",Caraguatatuba,Massaguaçu,Rua Aracajú,77,"3
              

                Quartos","2
              

                Banheiros","86
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 86m²"
R$ 480.000,Caraguatatuba,Massaguaçu,Rua Thomaz Totti,100,"2
              

                Quartos","2
              

                Banheiros","81
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 81m²"
R$ 770.000,Caraguatatuba,Cidade Jardim,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","173
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 173m²"
"R$ 373.000
                    



                  Condomínio:
                  
                      R$ 70",Caraguatatuba,Massaguaçu,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","409
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 409m²"
R$ 2.800.000,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,111,"3
              

                Quartos","4
              

                Banheiros","220
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 220m²"
"R$ 480.000
                    



                  Condomínio:
                  
                      R$ 300",Caraguatatuba,Massaguaçu,Avenida Maestro Heitor de Carvalho,70,"2
              

                Quartos","1
              

                Banheiro","71
              

                m²","2
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 71m²"
"R$ 373.000
                    



                  Condomínio:
                  
                      R$ 70",Caraguatatuba,Massaguaçu,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","409
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 409m²"
R$ 990.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,587,"3
              

                Quartos","3
              

                Banheiros","256
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 256m²"
"R$ 320.000
                    



                  Condomínio:
                  
                      R$ 200",Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","80
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 80m²"
R$ 850.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"4
              

                Quartos","4
              

                Banheiros","200
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 200m²"
"R$ 850.000
                    



                  Condomínio:
                  
                      R$ 750",Caraguatatuba,Prainha,Rua Adaly Coelho Passos,635,"2
              

                Quartos","2
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 90m²"
"R$ 580.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Prainha,Avenida Paulo Ferraz da Silva Porto,23,"2
              

                Quartos","2
              

                Banheiros","96
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 96m²"
R$ 750.000,Caraguatatuba,Loteamento Balneario Massaguacu,Rua Maria das Dores Veloso de Medeiros,34146,"3
              

                Quartos","2
              

                Banheiros","106
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 106m²"
R$ 1.500.000,Caraguatatuba,Indaiá,Avenida Alagoas,4,"5
              

                Quartos","5
              

                Banheiros","485
              

                m²","3
                

                  Vagas","Casa com 5 Quartos à Venda, 485m²"
R$ 450.977,Caraguatatuba,Jardim Aruã,N/I,N/I,"1
              

                Quarto","1
              

                Banheiro","54
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 54m²"
R$ 670.000,Caraguatatuba,Praia Das Palmeiras,Rua José Alves dos Santos,104,"3
              

                Quartos","2
              

                Banheiros","151
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 151m²"
R$ 850.000,Caraguatatuba,Capricórnio II,Rua Doze,N/I,"3
              

                Quartos","2
              

                Banheiros","175
              

                m²","8
                

                  Vagas","Casa com 3 Quartos à Venda, 175m²"
R$ 750.000,Caraguatatuba,Massaguaçu,Rua Nereu de Oliveira Ramos,N/I,"3
              

                Quartos","3
              

                Banheiros","132
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 132m²"
R$ 995.000,Caraguatatuba,Estrela Dalva,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","250
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 250m²"
R$ 1.400.000,Caraguatatuba,Cidade Jardim,Alameda dos Pinheiros,350,"3
              

                Quartos","4
              

                Banheiros","270
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 270m²"
R$ 1.950.000,Caraguatatuba,Indaiá,Avenida Santa Catarina,500,"4
              

                Quartos","4
              

                Banheiros","210
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 210m²"
"R$ 520.000
                    



                  Condomínio:
                  
                      R$ 885",Caraguatatuba,Martim de Sa,N/I,N/I,"1
              

                Quarto","1
              

                Banheiro","55
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 55m²"
R$ 470.000,Caraguatatuba,Jardim Brasil,Alameda Francisco de Assis Rosa Silva,N/I,"2
              

                Quartos","1
              

                Banheiro","75
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 75m²"
R$ 209.900,Caraguatatuba,JARAGUA,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","313
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 313m²"
R$ 450.000,Caraguatatuba,Massaguaçu,Rua Sebastião Soares,N/I,"2
              

                Quartos","2
              

                Banheiros","100
              

                m²","6
                

                  Vagas","Casa com 2 Quartos à Venda, 100m²"
R$ 910.000,Caraguatatuba,Jardim de Caraguatatuba,Rua Ivanil de Oliveira Soares,106,"3
              

                Quartos","2
              

                Banheiros","140
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 140m²"
"R$ 1.900.000
                    



                  Condomínio:
                  
                      R$ 1.500",Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"3
              

                Quartos","3
              

                Banheiros","142
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 142m²"
R$ 792.000,Caraguatatuba,Portal da Fazendinha,Rua Antônio de Souza Menezes,9,"3
              

                Quartos","4
              

                Banheiros","208
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 208m²"
"R$ 450.000
                    



                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Vila Atlantica,Rua Antônio Raposo Tavares,201,"2
              

                Quartos","2
              

                Banheiros","85
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 85m²"
